top_unit,top_url,child_name,child_url,tel,fax
政策部,list00181.html,さが政策推進チーム,list00001.html,0952-25-7541,0952-25-7263
政策部,list00181.html,駐屯地調整室,list06483.html,0952-25-7503,0952-25-7496
政策部,list00181.html,秘書課,list00006.html,0952-25-7007,0952-25-7288
政策部,list00181.html,広報広聴課,list00004.html,0952-25-7219,0952-25-7263
政策部,list00181.html,危機管理防災課,list00009.html,0952-25-7362,0952-25-7262
政策部,list00181.html,報道課,list00161.html,0952-25-7008,0952-25-7289
政策部,list00181.html,統計分析課,list00136.html,0952-25-7036,0952-25-7298
政策部,list00181.html,首都圏事務所,list00137.html,03-5212-9073,03-5215-5231
政策部,list00181.html,消防学校,list00011.html,0952-23-7728,0952-25-7045
政策部,list00181.html,防災航空センター,list05001.html,0952-34-9001,0952-45-9070
総務部,list00182.html,法務私学課,list00130.html,0952-25-7217,0952-25-0629
総務部,list00182.html,人事課,list00132.html,0952-25-7011,0952-25-7291
総務部,list00182.html,財政課,list00133.html,0952-25-7013,0952-25-7292
総務部,list00182.html,税政課,list00134.html,0952-25-7021,0952-25-7294
総務部,list00182.html,資産活用課,list00131.html,0952-25-7017,0952-25-7248
総務部,list00182.html,行政デジタル推進課,list00007.html,0952-25-7035,0952-25-7299
総務部,list00182.html,市町支援課,list00135.html,0952-25-7023,0952-25-7261
総務部,list00182.html,自治修習所（レナセル）,list00138.html,0952-62-5074,0952-62-5962
総務部,list00182.html,公文書館,list00139.html,0952-25-7365,0952-25-7410
総務部,list00182.html,佐賀県税事務所,list00140.html,0952-30-3161,0952-33-4628
総務部,list00182.html,唐津県税事務所,list00141.html,0955-73-1551,0955-75-0346
総務部,list00182.html,武雄県税事務所,list00142.html,0954-23-3103,0954-23-9752
地域交流部,list00183.html,さが 創生推進課,list00010.html,0952-25-7506,0952-25-7423
地域交流部,list00183.html,国際政策グループ,list00064.html,0952-25-7328(国際課)、0952-25-7005(旅券担当),0952-25-7084
地域交流部,list00183.html,多文化共生さが推進課,list06305.html,,
地域交流部,list00183.html,空港課,list00116.html,0952-25-7104,0952-25-7318
