source_url,department_name,source_type,link_match_mode,max_pages,pages_fetched,fetch_failed,all_kiji_links,keyword_matched_links,keyword_filtered_out,matched_in_crawled_log,matched_in_db,matched_with_appearance,matched_with_contact,matched_with_person_name,db_save_rate,person_name_rate,missing_titles_sample,saved_but_no_person_sample
https://www.pref.saga.lg.jp/list00631.html,入札・補助金・公募事業,proposal,strict,1,1,0,19,5,14,5,5,3,3,1,100.0%,20.0%,,令和8年度「佐賀県外国人材雇用サポート事業」企画・運営業務委託に関する企画提案を募集します | 「SSPフレッシュシリーズ2025」開催業務委託に係る企画コンペに関する質問への回答について | 令和7年度オンライン日本語講座運営業務に係る企画提案競技(プロポーザル方式)の最優秀提案事業者を決定しました
https://www.pref.saga.lg.jp/list00632.html,入札,proposal,strict,1,1,0,19,12,7,11,11,8,2,3,91.7%,27.3%,【開札結果:落札者無し】令和7年度繰り越し六角川海況自動観測塔補修工事の条件付一般競争入札・事後審査型を行います。,佐賀県地域公共交通計画(案)策定業務に関する公募型プロポーザルの参加者を募集します。 | 「佐賀県職員・給与システム等基本構想策定業務委託」に係る総合評価一般競争入札への質問に対する回答について | さが介護業務効率化サポートセンター設置・運営業務委託に係る企画提案競技(プロポーザル方式)の募集を行います
https://www.pref.saga.lg.jp/list02043.html,共通,proposal,strict,1,1,0,19,11,8,9,11,9,3,3,100.0%,27.3%,,<鍋島藩窯クリスマスイベント実行委員会事業> 令和8年度鍋島藩窯クリスマスイベント実施業務に係る公募型プロポーザルを実施します。 | 「佐賀県職員・給与システム等基本構想策定業務委託」に係る総合評価一般競争入札への質問に対する回答について | 令和8年度県内企業訪問ツアー企画・運営業務に関する企画提案を募集します
https://www.pref.saga.lg.jp/list02050.html,共通,proposal,strict,1,1,0,43,14,29,14,14,8,0,0,100.0%,0.0%,,令和8年度における条件付一般競争入札(総合評価落札方式)の事前審査登録申請の受付けについて(令和8年3月2日掲載) | 令和8年度における 条件付一般競争入札(事前審査型)の参加資格事前審査登録申請の受付けについて(令和8年2月20日掲載) | 佐賀県建設工事等入札心得(令和7年10月1日1部改正)
https://www.pref.saga.lg.jp/list02041.html,共通,proposal,strict,1,1,0,19,7,12,7,0,0,0,0,0.0%,,【開札結果:落札者無し】令和7年度繰り越し六角川海況自動観測塔補修工事の条件付一般競争入札・事後審査型を行います。 | 【開札結果:落札者無し】令和7年度繰り越し早津江川海況自動観測塔補修工事の条件付一般競争入札・事後審査型を行います。 | 六角川海況自動観測塔補修工事(令和7年度繰越事業)の条件付一般競争入札・事後審査型を行います。,
https://www.pref.saga.lg.jp/list03164.html,共通,proposal,strict,1,1,0,9,3,6,3,2,1,0,0,66.7%,0.0%,【佐賀城本丸歴史館】防蟻処理業務委託の条件付一般競争入札 (事前審査型 )を行います。,令和8年度唐津総合庁舎警備業務委託の条件付1般競争入札(事後審査型)を行います | 佐賀県庁舎等の維持管理業務の委託契約に係る入札参加資格停止等の措置要領の改正について(R7.6.1施行)
https://www.pref.saga.lg.jp/list03818.html,共通,proposal,strict,1,1,0,7,1,6,1,0,0,0,0,0.0%,,【佐賀城本丸歴史館】防蟻処理業務委託の条件付一般競争入札 (事前審査型 )を行います。,
https://www.pref.saga.lg.jp/list02063.html,共通,proposal,strict,1,1,0,26,17,9,17,14,8,2,2,82.4%,14.3%,【県内】「条件付一般競争入札(事前審査型)」単ダ施設第1109900-1号 有田ダムダム施設修繕賃貸借(水質改善装置賃貸借) | 佐賀県立図書館カラー複合機(コイン収納機を含む) の賃貸借、通常時間外保守委託及び複写サービス単価契約の条件付き一般競争入札について | クリエイティブ産業振興のためのWebサイト構築及びデザインスクール実施業務委託のプロポーザルを実施します,「佐賀県職員・給与システム等基本構想策定業務委託」に係る総合評価一般競争入札への質問に対する回答について | ノーコードツール(kintone)調達に係る一般競争入札を実施します | 「IT資産管理システムライセンス賃貸借契約」に係る条件付1般競争入札について
https://www.pref.saga.lg.jp/list02062.html,共通,proposal,strict,1,1,0,43,29,14,28,25,10,6,3,86.2%,12.0%,【入札結果】名勝9年庵庭園整備工事測量設計業務委託(令和7年12月1日 開札) | 佐賀道路建設に伴う文化財調査に係る出土遺物基礎整理業務委託(藤三郎屋敷遺跡I区)」の条件付一般競争入札を行います | 「佐賀道路建設に伴う文化財調査に係る出土遺物実測等業務委託(藤三郎屋敷遺跡H区)」の条件付一般競争入札を行います,令和8年度(2026年度)学校改革(教育改善・業務改善)伴走型支援業務委託に係るプロポーザルの審査結果について | 令和8年度さがデジタルサポーター育成事業業務委託に関するプロポーザルへの質問に対する回答について | 【説明会資料掲載】令和8年度佐賀県特定保健指導力向上人材育成事業業務委託に係るプロポーザルの説明会を実施しました。
https://www.pref.saga.lg.jp/list02061.html,共通,proposal,strict,1,1,0,43,33,10,30,31,22,13,4,93.9%,12.9%,プラスチックごみ削減に関する啓発業務委託に係るプロポーザルを実施します | 令和8年度佐賀県教育関係職員健康診断(血液生化学検査等)業務委託に係る一般競争入札を行います,第44回全国都市緑化フェア from SAGA会場実施計画等策定業務委託にかかる公募型プロポーザルを実施します | 佐賀県地域公共交通計画(案)策定業務に関する公募型プロポーザルの参加者を募集します。 | <鍋島藩窯クリスマスイベント実行委員会事業> 令和8年度鍋島藩窯クリスマスイベント実施業務に係る公募型プロポーザルを実施します。
