ID,タイトル,要約,抽出された部署,抽出された担当者,予算,申込締切,提出締切,掲載日,URL
106,「第6回SSP女性アスリートウェルネス協議会総会」を開催します,﻿,,,,,,2026-03-24,https://www.pref.saga.lg.jp/kiji003118743/index.html
111,SSPフレッシュシリーズ2025(高校新人大会)の表彰式を開催します,﻿,,,,,,2026-03-09,https://www.pref.saga.lg.jp/kiji003118505/index.html
113,第3回佐賀県渇水対策本部準備会を開催します,﻿,,,,,,2026-03-03,https://www.pref.saga.lg.jp/kiji003118383/index.html
115,佐賀県渇水対策本部準備会を開催します,﻿,,,,,,2026-02-13,https://www.pref.saga.lg.jp/kiji003118103/index.html
203,令和8年度中高1貫教育校佐賀県立中学校入学者選抜の合格者が決定しました,﻿,,,,,,2026-01-28,https://www.pref.saga.lg.jp/kiji00372594/index.html
205,~多様な働き方を活用し、人材不足を乗り切る~「副業・兼業人材の活用セミナー・相談会」を開催します,﻿,,,,,,2026-01-22,https://www.pref.saga.lg.jp/kiji003117771/index.html
202,西9州大学スポーツ健康科学センターにHPSCネットワーク連携機関指定証書が交付されます,﻿,,,,,,2026-01-20,https://www.pref.saga.lg.jp/kiji003117859/index.html
204,第24回佐賀県渇水対策連絡会を開催します,﻿,,,,,,2026-01-15,https://www.pref.saga.lg.jp/kiji003117838/index.html
207,第23回佐賀県渇水対策連絡会を開催します,﻿,,,,,,2026-01-13,https://www.pref.saga.lg.jp/kiji003117639/index.html
208,中山間地域における農業・農村関係人口創出のため「さが農業×企業・団体・大学マッチングサイト」を開設しました,﻿,,,,,,2026-01-06,https://www.pref.saga.lg.jp/kiji003112495/index.html
211,令和7年仕事納め式を行います,﻿,,,,,,2025-12-25,https://www.pref.saga.lg.jp/kiji00397064/index.html
210,御遺族の想いをしたためた「書」を 佐賀県内の高等学校等で展示します ~平和への想いを未来につなぐ~,﻿,,,,,,2025-12-25,https://www.pref.saga.lg.jp/kiji003117360/index.html
118,もっと見る,2026年2月6日更新,,,,,,2025-12-25,https://www.pref.saga.lg.jp/dynamic/hpkiji/pub/hpkijilistpagerhandler.ashx?c_id=3&class_id=693&class_set_id=1&pg=2&kbn=kijilist&top_id=0
117,仮屋湾産養殖マガキの出荷自主規制が解除されました,﻿,,,,,,2025-12-18,https://www.pref.saga.lg.jp/kiji003118006/index.html
213,佐賀県内の学校が第18回キャリア教育優良教育委員会、学校及びPTA団体等文部科学大臣表彰の被表彰団体として決定されました,﻿,,,,,,2025-12-15,https://www.pref.saga.lg.jp/kiji00371953/index.html
214,第22回佐賀県渇水対策連絡会を開催します,﻿,,,,,,2025-12-11,https://www.pref.saga.lg.jp/kiji003117318/index.html
212,令和7年11月定例県議会の採決結果をお知らせします,﻿,,,,,,2025-11-26,https://www.pref.saga.lg.jp/kiji003117363/index.html
218,王座奪還プロジェクト 令和7年度中学硬式野球選抜チーム発足式・遠征を行います,﻿,,,,,,2025-11-18,https://www.pref.saga.lg.jp/kiji003116718/index.html
222,令和7年秋の叙勲受章者が決定されました,﻿,,,,,,2025-11-03,https://www.pref.saga.lg.jp/kiji00399829/index.html
223,令和7年秋の褒章受章者が決定されました,﻿,,,,,,2025-11-02,https://www.pref.saga.lg.jp/kiji00399831/index.html
224,第26回佐賀県美しい景観づくり審議会を開催します,﻿,,,,,,2025-10-27,https://www.pref.saga.lg.jp/kiji003116621/index.html
226,第45回危険業務従事者叙勲受章者が決定されました,﻿,,,,,,2025-10-11,https://www.pref.saga.lg.jp/kiji00399176/index.html
227,テーマ展「佐賀城を知る」を開催します」,﻿,,,500円,,,2025-10-10,https://www.pref.saga.lg.jp/kiji003116359/index.html
225,売茶翁生誕350年特別展「売茶翁と若冲」後期展示が始まります!,﻿,,,,,,2025-10-07,https://www.pref.saga.lg.jp/kiji003116598/index.html
220,第63回技能5輪全国大会・第45回全国アビリンピックの入賞者が入賞報告を行われます,﻿,,,,,,2025-09-30,https://www.pref.saga.lg.jp/kiji00378360/index.html
230,ANAなどと連携した「ANA2地居住等推進コンソーシアム」が設立されます,﻿,,,,,,2025-09-17,https://www.pref.saga.lg.jp/kiji003115849/index.html
231,海洋環境国際シンポジウム みんなの海 国際会議 vol.2 を開催します,﻿,,,,,,2025-09-09,https://www.pref.saga.lg.jp/kiji003115699/index.html
232,令和8年度佐賀県公立学校教員採用選考試験の結果についてお知らせします,﻿,,,,,,2025-09-05,https://www.pref.saga.lg.jp/kiji003115705/index.html
233,令和7年度障害者を対象とする佐賀県職員採用選考(第2回) を実施します,﻿,,,,,,2025-09-04,https://www.pref.saga.lg.jp/kiji003115688/index.html
236,第21回佐賀県渇水対策連絡会を中止します,﻿,,,,,,2025-08-12,https://www.pref.saga.lg.jp/kiji003115383/index.html
239,SSPフレッシュシリーズ2025のキャッチコピーを募集します,﻿,,,,,,2025-08-08,https://www.pref.saga.lg.jp/kiji003115204/index.html
238,第21回佐賀県渇水対策連絡会を開催します,﻿,,,,,,2025-08-08,https://www.pref.saga.lg.jp/kiji003115209/index.html
237,王座奪還プロジェクト 令和7年度佐賀県中学軟式野球選抜チーム発足式を開催します,﻿,,,,,,2025-08-07,https://www.pref.saga.lg.jp/kiji003115237/index.html
240,令和8年度佐賀県公立学校教員採用選考試験(秋選考)を実施します,﻿,,,,,,2025-08-06,https://www.pref.saga.lg.jp/kiji003115187/index.html
242,令和8年度佐賀県立高等学校生徒募集定員についてお知らせします,﻿,,,,,,2025-07-25,https://www.pref.saga.lg.jp/kiji003114997/index.html
235,Harajuku Festival佐賀公演を盛り上げよう!フォトスポットを巡る「原宿フェス☆推し活ラリー」を開催します,﻿,,,,,,2025-07-25,https://www.pref.saga.lg.jp/kiji003114987/index.html
245,~働く人の想いを見える化し、働きやすい職場を目指す企業を応援!~ ウェルビーイング経営推進セミナーを開催します,﻿,,,,,,2025-07-15,https://www.pref.saga.lg.jp/kiji003114752/index.html
247,第27回参議院議員通常選挙の投票日を明後日に控えての佐賀県選挙管理委員会委員長の談話を発表します,﻿,,,,,,2025-07-12,https://www.pref.saga.lg.jp/kiji003114786/index.html
105,意見投稿,﻿,,,,,,2025-07-09,https://www.pref.saga.lg.jp/kiji003913/index.html
