ID,タイトル,要約,抽出された部署,抽出された担当者,予算,申込締切,提出締切,掲載日,URL
91,令和8年度吉野ヶ里歴史公園地域連携推進事業(プロモーション等)業務委託に 関する公募型プロポーザルの審査結果について,﻿,,,,,,2026-03-27,https://www.pref.saga.lg.jp/kiji003118808/index.html
65,令和8年度「地域主体の持続可能なスローツーリズムの仕掛けづくり」事業の委託に係る公募型プロポーザルを実施します,﻿,,,385000円,,,2026-03-27,https://www.pref.saga.lg.jp/kiji003118807/index.html
16,質問回答|令和8年度産福連携プロジェクト運営等委託業務のプロポーザル仕様書などへの質問について,﻿,,,,,,2026-03-27,https://www.pref.saga.lg.jp/kiji003118829/index.html
68,【質問回答】海外県人会次世代人材交流・育成事業委託業務に関するプロポーザルの質問への回答を掲載します,﻿,,,,,,2026-03-26,https://www.pref.saga.lg.jp/kiji003118793/index.html
7,令和8年度国際理解キャンプ業務委託する事業者を選定する企画コンペを実施します,﻿,,,,2026-04-06,,2026-03-26,https://www.pref.saga.lg.jp/kiji003118797/index.html
69,衛星画像等を活用した経営所得安定対策等に係る現地確認業務の省力化に向けた実証に関する業務委託に係るプロポーザルの結果をお知らせします,﻿,,,,,,2026-03-25,https://www.pref.saga.lg.jp/kiji003118769/index.html
19,【危機管理防災課】令和8年度原子力防災活動資機材管理業務委託に係る条件付1般競争入札を行います。,﻿,,,,2026-04-07,,2026-03-25,https://www.pref.saga.lg.jp/kiji00379983/index.html
66,令和8年度鳥栖駅東側エリア活用創出チャレンジ事業に係る企画提案業務に関するプロポーザル審査結果について,﻿,,,,,,2026-03-24,https://www.pref.saga.lg.jp/kiji003118806/index.html
9,令和8年度(2026年度)学校改革(教育改善・業務改善)伴走型支援業務委託に係るプロポーザルの審査結果について,﻿,,,,,,2026-03-24,https://www.pref.saga.lg.jp/kiji003118765/index.html
11,令和8年度道路賠償責任保険契約の条件付1般競争入札を行います,﻿,,,,,2026-04-14,2026-03-23,https://www.pref.saga.lg.jp/kiji00367643/index.html
73,さが障害者おしごとフェア企画運営等業務委託に係るプロポーザルを実施します,障害のある方が地域で働き、安定した収入を得て自立した生活を営むことができるよ う、働く機会の創出と収入向上を図ることを目的とする。そのため、企業等に障害者雇 用への理解を深めてもらい、特性に応じた多様な働く場の拡大(障害者雇用促進)を図 るとともに、障害福祉事業所における企業からの発注機会の拡大を促進し、障害者福祉 事業所の収益性の向上(工賃向上)を目指す。,,,,,,2026-03-19,https://www.pref.saga.lg.jp/kiji003115182/index.html
170,【質問への回答】令和8年度県市町職員研究会“dx21”等開催業務委託に係るプロポーザルを実施します,﻿,,,,,,2026-03-17,https://www.pref.saga.lg.jp/kiji003118634/index.html
169,CSO”志”応援事業事務局運営委託業務に係るプロポーザル結果をお知らせします,﻿,,,,,,2026-03-17,https://www.pref.saga.lg.jp/kiji003118598/index.html
14,「佐賀県職員・給与システム等基本構想策定業務委託」に係る総合評価1般競争入札を実施します。,﻿,,,,2026-04-08,,2026-03-17,https://www.pref.saga.lg.jp/kiji003118411/index.html
77,令和8年度(2026年度)ボランティア活動・CSO活動支援に関する情報発信業務の委託に係る企画コンペ結果をお知らせします,﻿,,,,,,2026-03-16,https://www.pref.saga.lg.jp/kiji003118591/index.html
84,【質問への回答】令和8年度 SAGA PAPA 育休アシスト奨励金広報業務委託に係る企画コンペに関する質問について,﻿,,,,,,2026-03-13,https://www.pref.saga.lg.jp/kiji003118547/index.html
83,【質問回答】全国お茶まつり消費拡大イベント業務に係る公募型プロポーザルの質問への回答を掲載します,﻿,,,,,,2026-03-13,https://www.pref.saga.lg.jp/kiji003118612/index.html
82,福岡県向けルート・グランブルーの情報発信事業業務委託に係る企画競争の結果をお知らせします,﻿,,,,,,2026-03-13,https://www.pref.saga.lg.jp/kiji003118618/index.html
81,令和8年度年長児向けSAGAアクア体験会“SAGA Enji Basha Vol.5”実施等業務委託公募型プロポーザルを実施します,﻿,,,1000円,,,2026-03-13,https://www.pref.saga.lg.jp/kiji003118624/index.html
8,令和8年度佐賀らしい探究学習推進事業業務の企画提案競技(プロポーザル方式)の募集を行います。,﻿,,,,,2026-04-08,2026-03-13,https://www.pref.saga.lg.jp/kiji003118609/index.html
85,【質問に対する回答】SAGA BARプロモーション事業「飲食店連携」業務委託に係るプロポーザルに関する質問について,﻿,,,,,,2026-03-12,https://www.pref.saga.lg.jp/kiji003118576/index.html
20,令和8年度佐賀県医療的ケア児支援センター運営業務に係るプロポーザル審査結果について,﻿,,,,,,2026-03-12,https://www.pref.saga.lg.jp/kiji003112533/index.html
173,令和8年度職業訓練(委託訓練)企画コンペの審査結果(8~11月訓練開始分),﻿,,,,,,2026-03-11,https://www.pref.saga.lg.jp/kiji00381075/index.html
92,【質問への回答】唯1無2の学校魅力化促進事業における学校魅力化アドバイザー等業務委託契約の企画提案競技(企画コンペ方式)に関する質問について,﻿,,,,,,2026-03-11,https://www.pref.saga.lg.jp/kiji003118400/index.html
93,令和8年度佐賀県保育士等キャリアアップ研修業務委託に係る企画コンペの質問回答について,﻿,,,,,,2026-03-10,https://www.pref.saga.lg.jp/kiji003118486/index.html
176,【質問への回答】令和8年度女性のためのキャリアトークカフェ事業業務委託に係る公募型プロポーザルに関する質問について,﻿,,,,,,2026-03-06,https://www.pref.saga.lg.jp/kiji003118441/index.html
94,【質問への回答】佐賀県唐津地区高等学校等寄宿舎舎監業務委託契約に係る公募型プロポーザルに関する質問について,﻿,,,,,,2026-03-05,https://www.pref.saga.lg.jp/kiji003118461/index.html
96,【質問への回答】SAGAハイスクールプロモーション業務に係る公募型企画コンペに関する質問について,﻿,,,,,,2026-03-04,https://www.pref.saga.lg.jp/kiji003118338/index.html
95,令和8年度さがデジタルサポーター育成事業業務委託に関するプロポーザルを実施します。,﻿,,,,2026-04-02,2026-04-02,2026-03-04,https://www.pref.saga.lg.jp/kiji003118425/index.html
46,令和8年度さがデジタルサポーター育成事業業務委託に関するプロポーザルへの質問に対する回答について,﻿,,,,,,2026-03-04,https://www.pref.saga.lg.jp/kiji003118653/index.html
50,令和8年度県立学校児童生徒の尿検査業務委託に係る条件付1般競争入札を実施します,﻿,,,,,,2026-03-03,https://www.pref.saga.lg.jp/kiji003118344/index.html
48,【質問回答】令和8年度特定保健指導力向上人材育成事業に係るプロポーザルに関する質問への回答を掲載します,﻿,,,,,,2026-03-03,https://www.pref.saga.lg.jp/kiji003118390/index.html
51,【質問内容及び回答】令和8年度佐賀型カーボンニュートラルチャレンジモデル企業創出等業務委託に係る企画コンペを実施します,﻿,,,,,,2026-03-02,https://www.pref.saga.lg.jp/kiji003112032/index.html
21,令和8年度における条件付1般競争入札(総合評価落札方式)の事前審査登録申請の受付けについて(令和8年3月2日掲載),﻿,,,,2026-04-01,,2026-03-02,https://www.pref.saga.lg.jp/kiji00325928/index.html
37,「IT資産管理システムライセンス賃貸借契約」に係る条件付1般競争入札について,﻿,,,,2026-03-06,,2026-02-27,https://www.pref.saga.lg.jp/kiji003118236/index.html
97,「スノーピーク グラウンズ 吉野ヶ里」開業セレモニー実施業務委託に係る公募型プロポーザルの審査結果について,﻿,,,,,,2026-02-24,https://www.pref.saga.lg.jp/kiji003118241/index.html
47,【説明会資料掲載】令和8年度佐賀県特定保健指導力向上人材育成事業業務委託に係るプロポーザルの説明会を実施しました。,﻿,,,,,,2026-02-24,https://www.pref.saga.lg.jp/kiji003118391/index.html
131,【2月20日追記:質問回答掲載】佐賀県母子父子寡婦福祉資金未収金回収業務委託に係る企画コンペを実施します,﻿,,,,,,2026-02-20,https://www.pref.saga.lg.jp/kiji003117961/index.html
22,令和8年度における 条件付1般競争入札(事前審査型)の参加資格事前審査登録申請の受付けについて(令和8年2月20日掲載),﻿,,,,2026-03-31,,2026-02-20,https://www.pref.saga.lg.jp/kiji00366636/index.html
178,結婚支援管理システム構築・運用・保守業務委託に係る公募型プロポーザルを実施します,﻿,,,2919375円,2026-03-05,,2026-02-19,https://www.pref.saga.lg.jp/kiji003118189/index.html
99,令和8年度子育てし大県“さが”SNS情報発信業務委託に係る公募型プロポーザルを実施します,﻿,,,131690円,,,2026-02-17,https://www.pref.saga.lg.jp/kiji003109666/index.html
181,【入札結果】吉野ヶ里遺跡甕棺墓体験展示用模型等製作業務委託,﻿,,,,,,2026-01-13,https://www.pref.saga.lg.jp/kiji003117676/index.html
182,【12月24日追記:質問回答掲載】佐賀県農業改良資金未収金回収務委託に係る公募型プロポーザルを実施します。,﻿,,,1000円,,,2025-12-24,https://www.pref.saga.lg.jp/kiji003117268/index.html
183,SAGA BARプロモーション事業「若者向け佐賀酒学」業務委託に係る企画提案競技(プロポーザル)を実施いたします,﻿,,,,,,2025-12-22,https://www.pref.saga.lg.jp/kiji003117429/index.html
185,唐津青翔高等学校eスポーツ学科の教材制作等業務委託に係るプロポーザルの結果をお知らせします,﻿,,,,,,2025-12-19,https://www.pref.saga.lg.jp/kiji003117316/index.html
180,佐賀県農業改良資金未収金回収業務委託に係る企画提案競技(公募型プロポーザル方式)の中止について。,﻿,,,,,,2025-12-08,https://www.pref.saga.lg.jp/kiji003117698/index.html
87,<事後審査型>PLA PLA蛇篭等物品の物品調達に係る条件付1般競争入札を実施します,﻿,,,,2025-12-05,,2025-11-27,https://www.pref.saga.lg.jp/kiji003117006/index.html
136,【危機管理防災課】令和7年度原子力防災活動資機材(サーベイメータ)点検・校正業務に係る条件付1般競争入札を実施します。,﻿,,,,,,2025-11-26,https://www.pref.saga.lg.jp/kiji003117082/index.html
38,佐賀県共同受注ポータルサイト作成・運用保守業務委託に係るプロポーザルの結果をお知らせします,﻿,,,,,,2025-11-21,https://www.pref.saga.lg.jp/kiji003117125/index.html
